RB,RS,age,knowledge,edu,risk,household,lnincome,city level,income
1,1000,25,4.25,6,0,1,8.517193191,1,5000
1,150,42,3,4,0,0,8.29404964,1,4000
1,3,22,3.25,3,0,0,8.517193191,1,5000
1,950,28,2.5,3,0,0,8.517193191,1,5000
1,500,43,3.5,7,0,0,8.517193191,1,5000
1,10,28,4.5,5,0,0,8.517193191,1,5000
1,98,19,2.75,3,0,1,8.517193191,1,5000
1,385,40,4,3,1,0,8.517193191,1,5000
1,500,13,3.25,3,1,0,8.29404964,1,4000
1,2000,31,3.25,4,1,0,8.517193191,1,5000
1,284,36,4.5,3,0,0,8.517193191,1,5000
1,300,41,4.5,7,0,0,8.517193191,1,5000
1,95,35,4,3,0,0,8.517193191,1,5000
1,179,49,4.5,7,0,1,8.517193191,1,5000
1,10,36,4.5,3,0,0,8.517193191,1,5000
1,100,42,4.5,7,1,0,8.517193191,1,5000
1,357,33,4.5,3,1,0,8.517193191,1,5000
1,100,20,3.5,3,0,0,8.517193191,1,5000
1,100,46,4.5,3,0,0,8.517193191,1,5000
1,1000,39,2.5,3,0,1,8.517193191,1,5000
1,750,29,3,4,1,0,8.517193191,1,5000
1,1000,20,4.5,3,1,0,8.517193191,1,5000
1,75,23,2.5,5,1,0,8.517193191,1,5000
1,118,34,3.5,3,0,0,8.517193191,1,5000
1,30,54,3.25,3,0,0,8.517193191,1,5000
1,50,32,3.25,4,0,0,8.630521877,1,5600
1,200,37,3.25,3,0,0,8.517193191,1,5000
1,13,43,2.25,3,0,0,8.517193191,1,5000
1,11,45,1.25,4,0,0,8.517193191,1,5000
1,135,28,2.25,6,0,0,8.517193191,1,5000
1,750,33,4.5,7,0,1,8.517193191,1,5000
1,1000,44,4.5,3,1,0,8.517193191,1,5000
1,750,40,3.25,3,0,1,8.517193191,1,5000
1,3000,35,2.75,6,0,1,8.517193191,1,5000
1,8000,41,2.75,4,1,0,8.517193191,3,5000
1,1000,39,3.5,5,0,1,8.517193191,1,5000
1,300,38,3.25,3,0,0,8.517193191,1,5000
1,1,41,3,3,0,0,8.517193191,1,5000
1,1500,36,4.25,6,0,0,8.612503371,1,5500
1,250,32,4.5,4,0,0,8.517193191,1,5000
1,106,56,1.5,3,0,1,8.425077903,2,4560
1,3000,37,3,5,1,1,8.517193191,2,5000
1,100,21,4.5,3,0,0,8.006367568,2,3000
1,30000,39,3.75,7,1,1,8.517193191,3,5000
1,2000,29,2.25,4,1,1,8.517193191,3,5000
1,6000,36,3.25,4,0,1,8.517193191,2,5000
1,1000,34,3.5,5,1,0,8.517193191,2,5000
1,1000,49,3.25,2,0,1,8.517193191,2,5000
1,3000,62,1.75,6,1,1,8.517193191,2,5000
1,60000,36,4.5,4,0,1,8.517193191,3,5000
1,114,51,3.75,4,0,0,8.517193191,2,5000
1,1000,27,2.75,6,0,0,8.517193191,2,5000
1,1028,38,4.5,4,0,0,8.517193191,2,5000
1,500,40,4.25,6,0,0,8.517193191,2,5000
1,78,66,4.5,4,0,1,8.083328609,2,3240
1,100,38,2.75,7,1,1,8.29404964,3,4000
1,10000,40,4.5,7,0,1,8.517193191,3,5000
1,800,60,2.25,6,0,1,8.517193191,3,5000
1,0,72,4.25,7,0,1,8.517193191,3,5000
1,428,49,1.25,7,0,1,8.517193191,3,5000
1,3493,55,3.25,2,0,0,8.517193191,3,5000
1,3000,22,4.25,6,1,1,8.006367568,2,3000
1,7427,47,3.75,8,0,1,8.517193191,3,5000
1,250000,49,2,7,1,1,8.517193191,3,5000
1,7258,28,4,5,1,0,8.517193191,3,5000
1,4000,40,4.5,3,0,0,8.517193191,3,5000
1,43,41,2.75,7,0,1,8.517193191,3,5000
1,1313,59,3.25,7,0,1,8.517193191,3,5000
1,2000,53,4.5,1,0,0,8.517193191,3,5000
1,1000,74,4.25,2,0,1,8.517193191,3,5000
1,6500,29,3.5,6,1,1,8.517193191,1,5000
1,0,32,4,3,0,0,8.612503371,3,5500
1,189,39,2.75,7,0,1,8.517193191,2,5000
1,29,40,2,3,0,0,8.517193191,3,5000
1,208,57,3.25,2,0,0,8.517193191,3,5000
1,5000,42,2.5,7,1,0,8.517193191,3,5000
1,10000,29,3.25,3,0,0,8.517193191,3,5000
1,500,29,4.5,7,0,0,8.476371197,3,4800
1,4716,45,3.25,3,0,0,8.517193191,3,5000
1,130,54,3,2,0,1,8.699514748,3,6000
1,200,46,4.5,3,0,1,8.517193191,3,5000
1,100,40,4,4,1,0,8.517193191,3,5000
1,300,28,4.5,7,0,0,8.517193191,1,5000
1,58,43,3.25,3,0,0,8.517193191,1,5000
1,800,18,4.25,3,0,1,8.188689124,1,3600
1,500,26,3.75,7,0,1,8.517193191,1,5000
1,1400,10,3,5,1,0,8.517193191,1,5000
1,73,37,4.25,5,1,1,8.517193191,1,5000
1,96,32,4,6,0,1,8.517193191,1,5000
1,187,31,3.25,4,0,0,8.229511119,1,3750
1,50,32,2.5,6,0,0,8.517193191,1,5000
1,3500,26,4.5,3,0,0,8.517193191,1,5000
1,300,28,4,4,1,0,8.517193191,1,5000
1,2,51,2.5,3,1,1,8.366370302,1,4300
